step,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/score/mean,critic/score/max,critic/advantages/mean,actor/entropy,actor/grad_norm,actor/kl_loss,training/num_turns/mean,response_length/mean,response_length/clip_ratio,timing_s/step,perf/throughput,val-aux/swe-bench-ags/reward/mean@1,val-core/swe-bench-ags/acc/mean@1
19,0.15625,1.0,0.0,0.15625,1.0,-0.024690477177500725,0.3920395076274872,0.01397705078125,0.004936334339390669,21.875,5071.09375,0.125,783.2367618229982,62.33970668888782,,
20,0.109375,1.0,0.0,0.109375,1.0,-0.029441913589835167,0.4139206111431122,0.025390625,0.005176574604774942,22.0625,5427.4375,0.125,800.5106991739995,64.03724528965671,0.0,0.0
21,0.0625,1.0,0.0,0.0625,1.0,-0.011682156473398209,0.40229499340057373,0.0169677734375,0.005475950340041891,22.125,5107.09375,0.1875,823.3218484159988,58.24909188583618,,
22,0.15625,1.0,0.0,0.15625,1.0,-0.035630546510219574,0.3531351089477539,0.0189208984375,0.005279210839944426,22.1875,3460.34375,0.03125,743.1851178020006,49.74769961667884,,
23,0.125,1.0,0.0,0.125,1.0,-0.026142308488488197,0.4186759889125824,0.029541015625,0.005934918974162429,21.625,4100.53125,0.09375,814.4402074339996,48.91488612223065,,
24,0.171875,1.0,0.0,0.171875,1.0,-0.06539327651262283,0.4212333858013153,0.0159912109375,0.004484237721044337,20.75,4970.6875,0.15625,836.3104660870013,58.334197619529554,,
25,0.171875,1.0,0.0,0.171875,1.0,-0.00600335793569684,0.44403505325317383,0.0142822265625,0.004939035358120236,20.125,4646.28125,0.21875,810.1389626189994,56.1511692425459,0.0,0.0
26,0.03125,1.0,0.0,0.03125,1.0,0.0002650067035574466,0.39581573009490967,0.01611328125,0.00536129905776761,21.9375,5539.71875,0.125,833.1034360640006,63.553632968010625,,
27,0.28125,1.0,0.0,0.28125,1.0,0.016755636781454086,0.4048880934715271,0.0277099609375,0.005547410175495315,21.8125,3766.625,0.0625,760.8578286230004,49.27464578744122,,
28,0.21875,1.0,0.0,0.21875,1.0,0.03863392397761345,0.3607249855995178,0.03564453125,0.005517584151675692,22.3125,4679.78125,0.15625,791.8771854270017,57.94490717049441,,
29,0.078125,1.0,0.0,0.078125,1.0,0.06507649272680283,0.3834933638572693,0.03515625,0.0050451760143914726,23.8125,3958.0625,0.09375,801.0797324009982,52.13525983839753,,
30,0.09375,1.0,0.0,0.09375,1.0,-0.08179832249879837,0.4108183979988098,0.02294921875,0.004895544743703795,21.8125,5998.59375,0.09375,811.3952666840014,66.46791300669956,0.0,0.0
31,0.203125,1.0,0.0,0.203125,1.0,0.004940850660204887,0.42145273089408875,0.0250244140625,0.004997542966520996,21.25,5853.3125,0.21875,801.8896124670027,68.1022663855085,,
32,0.1458333134651184,1.0,0.0,0.1458333134651184,1.0,-0.03652492165565491,0.4221930503845215,0.0220947265625,0.00542227779874338,21.5625,4283.78125,0.15625,788.1659152940047,54.32644214768888,,
33,0.03125,1.0,0.0,0.03125,1.0,0.010998637415468693,0.44023460149765015,0.0206298828125,0.00554765425658843,22.0,4772.0,0.25,801.519488287995,56.367936974935176,,
34,0.1875,1.0,0.0,0.1875,1.0,-0.04194192215800285,0.39811331033706665,0.03515625,0.005081658964627422,20.875,5258.3125,0.15625,788.1432538930021,65.24511850605917,,
35,0.234375,1.0,0.0,0.234375,1.0,0.006848752498626709,0.34880530834198,0.0201416015625,0.005450443161862495,22.0625,4130.03125,0.125,850.4317269079984,48.08175507358935,0.0,0.0
36,0.057291656732559204,1.0,0.0,0.057291656732559204,1.0,0.014117755927145481,0.42710286378860474,0.0185546875,0.004694749037298607,21.625,5887.40625,0.21875,781.247244654005,72.11577434100481,,
37,0.1875,1.0,0.0,0.1875,1.0,-0.04778149724006653,0.39759403467178345,0.0179443359375,0.004806040522908006,22.125,5062.28125,0.09375,743.9566619769976,64.28499460292313,,
38,0.078125,1.0,0.0,0.078125,1.0,0.030345847830176353,0.4177708625793457,0.0211181640625,0.005082111418232671,20.0625,6438.46875,0.28125,820.8336276059999,73.93185166766725,,
39,0.10000000149011612,1.0,0.0,0.10000000149011612,1.0,-0.01627882570028305,0.39728739857673645,0.031005859375,0.005388535610109102,23.9375,3786.5625,0.15625,704.4598594959971,53.20601237211157,,
40,0.09375,1.0,0.0,0.09375,1.0,-0.022999728098511696,0.38368895649909973,0.02587890625,0.005572107687839889,22.375,4497.15625,0.15625,750.1439857279984,60.16078360770039,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.3929121792316437,7.534027099609375,0.005269997911454993,21.9375,5482.84375,0.25,797.3710717560025,64.65590717564416,,
42,0.1354166567325592,1.0,0.0,0.1354166567325592,1.0,0.034819718450307846,0.4064965546131134,0.032470703125,0.005581191504006711,21.5,4509.34375,0.125,786.6002836710031,55.426817031552524,,
43,0.1822916567325592,1.0,0.0,0.1822916567325592,1.0,0.03748978301882744,0.3598071336746216,0.0311279296875,0.005854099914358812,22.5625,4209.6875,0.09375,717.5024100939991,60.21512874687046,,
44,0.0,0.0,0.0,0.0,0.0,0.0,0.4227411448955536,8.0108642578125,0.005376144300498709,23.0,5370.375,0.1875,764.8066103710007,66.82735126361814,,
45,0.125,1.0,0.0,0.125,1.0,0.0,0.4548381567001343,5.936622619628906,0.005077527779349111,20.875,5044.1875,0.28125,788.6588184100037,60.18255155719939,0.0,0.0
46,0.171875,1.0,0.0,0.171875,1.0,-0.07983288913965225,0.38571035861968994,0.0242919921875,0.005556889252147812,21.625,4883.4375,0.15625,825.0747394999999,59.248571868318614,,
47,0.0625,1.0,0.0,0.0625,1.0,-0.003472966141998768,0.4037536084651947,0.0164794921875,0.005517281424545217,23.625,5173.59375,0.09375,782.355915154003,64.18657931424353,,
48,0.09375,1.0,0.0,0.09375,1.0,-0.006969326175749302,0.41932976245880127,0.0228271484375,0.0050230707702212385,22.4375,4275.0625,0.15625,786.3842757650054,52.73312460331035,,
49,0.1510416567325592,1.0,0.0,0.1510416567325592,1.0,-0.02373589389026165,0.330795019865036,0.0380859375,0.006220795210538199,23.125,3863.15625,0.125,754.2803772340048,52.915667972650276,,
50,0.15625,1.0,0.0,0.15625,1.0,-0.01164337433874607,0.4186093509197235,0.0242919921875,0.005570313989210263,21.9375,5114.84375,0.0625,769.5432258000001,61.916924745151846,0.5,0.5
